Gr Liv Area,Overall Qual,Year Built,SalePrice
1656,6,1960,215000
896,5,1961,105000
1329,6,1958,172000
2110,7,1968,244000
1629,5,1997,189900
1604,6,1998,195500
1338,8,2001,213500
1280,8,1992,191500
1616,8,1995,236500
1804,7,1999,189000
1655,6,1993,175900
1187,6,1992,185000
1465,6,1998,180400
1341,7,1990,171500
1502,8,1985,212000
3279,8,2003,538000
1752,8,1988,164000
1856,9,2010,394432
864,4,1951,141000
2073,6,1978,210000
1844,6,1977,190000
1173,7,1974,170000
1674,7,2000,216000
1004,6,1970,149000
1078,5,1971,149900
1056,5,1968,142000
882,4,1970,126000
864,4,1971,115000
1337,7,1999,184000
987,6,1971,96000
1092,5,1971,105500
1092,6,1971,88000
1069,6,1977,127500
1456,6,1975,149900
836,7,1975,120000
1456,6,1978,146000
2334,9,2009,376162
1704,8,2007,306000
1940,9,2009,395192
1544,8,2009,290941
1541,7,2005,220000
1698,9,2005,275000
1822,8,2005,259000
1535,7,2004,214000
2364,9,2009,611657
1358,7,2009,224000
2696,9,2003,500000
2250,8,2002,320000
1752,9,2005,319900
1370,8,2006,205000
1626,7,2003,175500
1324,6,2005,199500
1145,7,2006,160000
1269,8,2004,192000
1374,7,2004,184500
1960,6,2002,216500
1733,7,2004,185088
1430,7,2000,180000
2035,7,2001,222500
2599,9,1999,333168
2475,8,1998,355000
1720,7,1996,260400
2622,8,1994,325000
2270,8,1999,290000
1839,7,1998,221000
3238,8,1995,410000
1595,8,2005,221500
1218,7,2009,204500
1547,7,2009,215200
1566,8,2008,262500
1947,7,2004,254900
1468,6,2005,271500
2084,7,2004,233000
1659,7,2004,181000
2110,7,1994,205000
923,6,1980,143000
1845,6,1992,189000
918,6,1979,99500
752,6,1984,125000
1744,7,1993,194500
1097,6,1984,152000
1564,6,1980,171000
1012,5,1920,67500
1902,6,1978,112000
1155,5,1961,148000
894,5,1965,138500
900,5,1967,122000
1040,5,1963,133000
1040,5,1962,127000
1494,6,1974,169000
1923,7,1992,190000
2349,8,1993,362500
2225,8,1992,285000
1488,7,2004,260000
1680,7,2004,190000
1200,7,2004,155000
1200,7,2004,151000
1200,7,2004,149500
1236,6,2005,152000
1478,7,2009,222000
1573,6,2000,177500
1512,6,2000,177000
1416,7,1999,155000
1080,7,2003,147110
1418,8,2010,267916
1848,8,2000,254000
788,8,1980,155000
1226,8,1978,206000
1479,6,1976,130500
1492,7,2002,230000
1829,6,1967,218500
2495,6,1993,243500
1610,6,1977,205000
1891,6,1978,212500
1714,7,1988,196500
1381,6,1972,197500
1645,6,1971,171000
1232,5,1966,142250
1328,6,1963,143000
1225,4,1959,128950
1209,5,1966,159000
1510,5,1967,178900
1775,6,1964,136300
1152,5,1964,180500
1054,6,1963,137500
1728,5,1962,84900
1078,5,1950,142125
2461,5,1952,197600
1556,6,1949,172500
858,5,1958,116500
1306,3,1940,76500
1063,5,1954,128000
1520,6,1955,153000
1268,5,1954,132000
1128,6,1966,178000
2274,5,1960,154300
2207,7,1970,180000
1888,6,1966,190000
1604,5,1958,135000
1480,7,2003,214000
1143,5,1959,136000
1700,5,1959,165500
1314,5,1957,145000
1194,6,1959,148000
1188,5,1959,142000
1264,5,1960,167500
1206,5,1959,108538
1580,6,1959,159500
1337,4,1956,108000
1064,5,1952,135000
972,5,1955,122500
988,5,1958,119000
1057,5,1953,109000
985,4,1920,105000
827,5,1955,107500
1086,5,1954,144900
936,5,1956,129000
1458,6,1948,97500
1056,6,1980,144000
1287,5,1959,162000
2978,7,1967,242000
1224,6,1948,132000
1246,5,1959,154000
1385,5,1952,166000
900,5,1951,134800
1116,6,1962,160000
1175,5,1960,148000
1395,6,1963,192000
1839,6,1966,155000
1844,4,1900,80400
1140,4,1910,96500
936,5,1920,109500
1028,5,1927,115000
1347,5,1957,143000
1605,3,1915,107400
747,4,1945,80000
804,5,1940,119000
1316,5,1929,130000
1251,6,1938,119000
1633,5,1948,129000
1245,5,1920,100000
832,2,1923,12789
720,6,1928,105900
1566,8,1900,150000
1652,5,1915,139000
2268,8,1890,240000
2256,5,1910,76500
1236,6,1957,149700
1363,4,1910,125500
2290,4,1885,122500
1470,6,1922,140750
1612,5,1950,128500
2068,7,1922,209500
765,4,1925,87000
1132,6,1939,134000
1196,6,1940,128000
1453,5,1942,132000
1416,6,1948,139900
1040,5,1936,123900
1536,5,1930,138400
1068,6,1923,109500
1710,7,1921,140000
1962,4,1915,149500
1560,6,1912,159900
1324,6,1920,122000
816,5,1963,110000
1092,4,1930,55000
1812,5,1900,140000
2403,7,1940,244400
1675,5,1959,173000
1224,5,1917,107500
1392,5,1915,100000
919,6,1940,95000
1884,4,1907,93369
1680,5,1910,114900
1020,5,1875,94000
1832,4,1967,136000
1768,4,1968,136500
1039,5,1965,131500
1392,5,1957,121500
912,5,1967,125000
1060,5,1968,154000
892,5,1966,137900
1352,6,1969,158000
864,5,1968,137250
1373,5,1978,160250
1440,5,1968,163000
1386,6,1978,158900
2260,7,1996,328000
1483,7,1977,270000
756,4,1927,85000
1067,4,1950,128000
1524,7,1979,260000
1981,6,1978,230000
1610,3,1938,124000
835,5,1920,83000
1074,6,1950,144500
1144,5,1956,129000
1531,4,1947,127000
1172,5,1954,128000
1212,6,2009,186000
1508,7,2009,308030
1298,5,1964,114000
930,4,1946,84900
1732,6,1985,178000
1433,7,1987,270000
1802,6,1993,218000
1949,7,1993,236000
996,6,1992,147000
1694,8,2008,245350
1208,7,2006,206000
1226,7,2009,198900
1222,7,2010,187000
3222,7,1990,320000
1445,6,1900,138500
1052,6,1971,155000
965,5,1996,159000
1692,7,1997,191000
1682,6,1998,200500
1026,5,1977,150000
1392,6,1977,161750
894,5,1976,128200
876,5,1972,127000
1978,8,2003,318000
1601,8,2001,272000
1829,7,2003,237000
2098,7,1997,240000
1661,7,1998,224900
848,6,2003,143750
848,6,2004,143000
1668,8,2003,232000
1484,7,2004,213000
1414,7,2004,185500
640,3,1945,84900
992,5,1954,155891
1664,5,1965,100000
1196,5,1968,144000
1120,4,1948,64000
1096,6,1975,125200
1117,6,1976,107000
960,4,1958,90000
1121,4,2003,140000
1487,6,1945,113000
924,4,1941,80000
1526,5,1957,144500
1296,5,1924,104000
1647,6,1915,128000
864,3,1914,58500
1691,5,1924,127000
856,6,1939,126000
2650,4,1967,160000
1666,5,1931,100000
2447,6,1919,169000
2133,7,1941,257500
2177,5,1950,215000
2340,7,1941,266500
1902,7,1959,335000
1652,7,1994,203135
1034,8,1989,185000
1191,8,1989,162500
1801,7,1959,289000
1154,4,1922,125500
540,2,1941,82000
1107,6,1921,110000
1128,4,1920,68400
1178,4,1900,102776
1044,5,1952,55993
952,4,1896,50138
1646,8,2004,246000
1916,8,1998,254900
1285,6,1977,190000
1560,7,2003,201000
1034,6,1976,169900
2048,6,1976,170000
1687,5,1948,160000
1346,7,2008,220000
1214,7,2009,179781
1444,5,2006,174000
1968,8,2009,269500
1894,7,2002,214900
1908,8,2002,202900
2018,9,2008,378500
1264,5,1965,169000
1430,5,2004,173500
1824,6,1971,139000
1344,5,1999,166500
1092,4,1973,83500
945,5,1973,119500
1112,5,1976,85000
1092,4,1970,76000
630,4,1972,75500
1092,4,1970,88250
1092,4,1972,85500
874,5,1971,130000
1188,5,1962,157900
833,5,1984,149900
2432,5,1985,159000
1274,5,1991,136000
1479,5,1969,161000
1803,8,1994,285000
1797,6,1993,231000
882,6,1956,124500
1434,6,1974,157000
2704,8,1972,345000
1608,6,1997,189500
2283,8,2003,270000
1628,7,1996,189000
1746,9,2006,377500
1474,7,1995,168500
2522,8,2004,375000
1659,8,2000,278000
1478,8,1998,240000
1734,8,1995,239500
1382,7,1998,177500
1718,7,1998,185000
1636,6,1998,191000
1571,6,1993,178000
1470,6,1993,185000
1516,6,1994,181316
1190,6,1993,166000
1593,6,1992,178000
1481,6,1994,174000
1167,6,1992,173000
1983,7,1999,225000
1442,7,1990,180500
1360,8,1984,187500
2234,9,2008,501837
2046,8,2008,372500
1530,7,2005,260000
1934,5,1977,185000
2353,7,1980,260000
1586,6,1979,181000
1411,7,1977,82500
1602,6,1977,215000
2050,7,1978,154000
1671,6,1978,200000
2673,7,1980,249000
1472,7,1980,187500
1707,6,1978,184000
2524,8,1981,278000
1601,7,1978,157000
1370,7,1976,152000
1868,5,1976,197500
1884,7,2003,240900
1935,8,2009,263435
1874,8,2000,220000
1811,8,2002,235000
1621,5,1975,213000
1116,6,1974,167900
1193,7,1975,158000
1350,6,1974,165000
2119,6,1972,158000
1792,5,1974,136000
1002,5,1970,148500
1026,6,1969,156000
1180,5,1970,128000
1050,5,1971,143000
864,4,1970,76500
864,4,1970,120500
864,4,1970,124500
864,4,1971,97000
864,4,1971,130000
987,6,1973,111000
1365,5,1970,125000
1302,5,1971,112000
987,6,1972,97000
987,6,1972,118000
1302,5,1972,119500
958,6,1976,143750
1548,6,1976,146000
1456,6,1976,148500
1055,7,1975,123000
1322,6,1974,147000
1456,6,1977,137900
1548,6,1978,147000
1441,6,1978,148500
1456,6,1978,138000
836,7,1976,128500
892,5,1967,100000
1120,5,1966,148800
1718,10,2006,337500
2772,9,2007,462000
3140,9,2008,485000
2402,10,2008,555000
1652,9,2006,325000
1600,8,2007,256300
2042,8,2008,253293
2690,9,2009,398800
2184,9,2008,335000
2020,9,2008,404000
2020,10,2009,402861
2296,10,2008,451950
2674,10,2007,610000
2822,9,2008,582933
1736,9,2008,360000
1782,8,2004,296000
2520,8,2007,409900
1717,8,2006,255500
1743,9,2008,335000
1713,8,2004,274900
1531,9,2006,300000
1808,9,2008,324000
2224,9,2004,350000
1836,8,2004,280000
1629,8,2003,284000
1760,7,2003,269500
1502,7,2009,233170
2392,10,2003,386250
2452,9,2003,445000
2400,8,2003,290000
1606,8,2006,255900
1358,6,2005,213000
1306,6,2005,196000
1306,6,2005,184500
1358,7,2007,212500
1314,7,2007,230000
2492,10,2004,552000
2200,8,2003,382500
1884,9,2008,320000
1456,9,2008,248500
1712,8,2002,286500
1324,8,2006,254000
1405,7,2003,173000
1626,7,2003,173000
1456,7,2005,184000
1490,6,2005,167800
1484,6,2005,174000
1560,6,2005,174000
1555,7,2007,174000
1569,7,2007,175900
1555,7,2005,192500
1504,7,2005,181000
1220,7,2005,180000
1145,7,2005,160200
1432,7,2004,188500
2267,6,2002,200000
1374,7,2004,170000
1630,7,2004,189500
1419,8,2002,184100
1594,7,2004,195500
1489,7,2003,192000
1342,7,2003,178000
1314,7,2007,207500
2256,7,2000,236000
2004,8,2002,257500
2054,6,2000,244000
1374,7,2004,167000
1800,6,2000,179000
1514,6,2000,190000
1430,7,1999,156000
2312,7,1999,245000
1675,6,1999,181000
2060,7,1999,214000
1430,7,1999,168000
2365,8,1999,337000
2794,8,1995,403000
2687,8,2000,327000
2450,8,1998,340000
2612,8,1998,336000
2344,7,1996,265000
2063,8,1994,315000
2646,7,1993,260000
2061,7,1995,260000
2232,8,1993,263550
2448,8,1994,402000
1850,7,1994,248000
1468,8,2008,244600
1696,8,2008,275000
1658,8,2008,257500
1578,8,2008,287090
1702,8,2007,275500
1432,8,2006,245000
1971,7,2005,253000
2490,9,2005,468000
1852,7,2009,252678
1590,8,2008,210000
1218,6,2009,208300
1436,7,2008,225000
1314,8,2009,229456
1402,7,2008,229800
1530,9,2007,250000
1766,9,2009,370878
1448,8,2006,238500
2007,10,2008,310000
1795,8,2006,270000
1953,8,2005,252000
1550,7,2006,241000
1836,8,2008,264500
1662,7,2006,291000
2094,7,2003,263000
1221,7,2004,185000
1553,7,2003,234500
1653,7,2003,209000
1218,7,2007,159000
1141,7,2006,152000
1158,6,2004,143500
1812,7,2004,193000
1512,8,2004,203000
1200,7,2003,184900
1114,7,2004,159000
1114,5,2004,142000
1114,5,2003,153000
1450,7,2008,224243
2122,7,1996,220000
1844,8,2005,257000
1434,7,2001,189000
1730,6,1992,171500
1217,6,1980,120000
1332,6,1990,145000
1540,7,1994,184000
1400,6,1986,162000
1882,6,1981,160000
841,4,1950,82000
784,6,1928,76000
980,5,1962,110000
980,5,1977,135000
864,5,1961,141000
864,5,1961,122000
1020,5,1965,124100
912,5,1963,129000
1144,5,1961,131400
864,5,1965,62383
912,5,1962,123000
2014,8,1980,275000
1755,7,1991,235000
3005,7,2004,280750
1224,6,2009,164500
1224,6,2009,173733
1726,6,2008,222000
1256,6,2008,195000
1471,6,1999,172500
1512,6,2000,180000
1452,7,1999,156000
1739,8,1999,172500
1694,8,1977,318750
1226,8,1981,211500
1740,7,1981,241600
2499,8,1976,180500
1620,4,1976,150000
1556,6,1968,154000
1442,6,1970,185000
1489,6,1968,185750
2090,7,1973,200000
2067,7,1974,206000
1395,6,1972,162000
2640,6,1967,256900
1724,6,1967,197900
1336,5,1969,163000
1216,6,1969,113000
2288,7,1977,230000
1334,6,1977,167900
1680,7,1998,213250
1665,8,2001,227000
864,5,1967,130000
1568,5,1967,143000
925,5,1965,117500
2061,7,1974,168500
1320,6,1971,172500
1342,6,1967,161500
894,4,1960,141500
864,5,1959,118000
864,6,1959,127500
1362,4,1957,140000
1728,5,1956,177625
1776,5,1958,110000
1516,6,1964,167000
1313,5,1961,153000
1292,5,1964,145100
1154,5,1966,154000
2140,5,1965,177500
1445,6,1964,158000
1041,5,1959,124500
1576,6,1961,174500
960,5,1955,122000
708,4,1940,82500
1203,5,1950,110000
1505,6,1953,149500
1691,6,1967,175000
1644,6,1953,167000
1050,5,1956,128900
1668,6,1950,140000
1113,5,1950,147000
1584,5,1967,124000
1453,6,1961,187500
1394,6,1963,159000
1567,6,1966,256000
1986,7,1965,205000
2142,6,1968,193500
1392,6,1968,110000
1738,4,1920,104900
1144,5,1956,150000
1478,6,1957,156500
1329,7,1960,176000
988,6,1959,149500
1632,6,1958,139000
1215,6,1958,155000
1202,5,1956,120000
1382,5,1955,153000
1200,4,1956,144000
1382,6,1962,176000
1297,5,1954,153000
1866,5,1958,135000
1062,6,1954,131000
1319,5,1953,123000
1112,5,1951,126000
1005,4,1955,115000
1363,5,1951,164900
793,5,1945,113000
1031,5,1952,145500
1210,5,1953,102900
1699,3,1900,95000
1527,7,1948,152500
1200,5,1950,129900
972,6,1948,132000
792,3,1958,99900
1656,5,1916,135000
1352,5,1939,149000
1039,4,1900,114000
792,5,1924,109500
1078,5,1925,125000
2377,4,1915,142900
1690,7,1910,156500
599,2,1940,59000
1374,4,1920,105000
846,5,1920,106000
725,3,1890,78500
2544,6,1969,190000
1380,6,1963,154000
1040,6,1967,163000
2634,5,1969,200000
951,6,1958,143500
1105,6,1957,135000
1306,5,1957,153000
1478,6,1960,157500
1142,6,1958,113500
1268,5,1949,133000
1040,3,1950,92900
1133,6,1950,128500
1040,4,1949,90000
1904,5,1950,138000
1041,5,1958,128000
1339,5,1958,139000
732,5,1952,118900
1183,5,1959,138000
1148,5,1959,132500
1461,4,1949,133500
1495,6,1948,135000
1806,6,1964,144750
941,5,1978,145000
1045,6,1963,127000
894,5,1962,109500
1224,6,1926,115000
1230,5,1910,110000
1378,6,1935,128900
1944,6,1910,103500
1131,5,1941,66500
1306,5,1910,130000
1464,5,1910,129000
1558,5,1939,150000
2372,5,1892,107500
1701,4,1920,94550
1960,5,1952,124500
1389,7,1946,135000
1447,5,1910,103000
936,4,1953,93000
1328,5,1950,129500
1387,5,1954,93000
861,4,1920,80000
612,2,1940,45000
968,3,1910,37900
886,5,1938,91300
792,5,1923,99500
1452,4,1920,113000
1510,4,1910,87500
1284,5,1947,110000
2138,5,1898,106000
2640,7,1880,265979
2007,6,1900,160000
1288,6,1917,119000
1742,8,1882,168000
816,4,1910,58500
1482,7,1920,143000
1022,5,1910,85000
1869,5,1890,124900
1480,6,1920,119000
1521,6,1910,146500
720,4,1920,34900
797,3,1900,44000
1576,5,1923,223500
1432,6,1923,149000
1548,7,1925,205000
1654,5,1930,137000
952,6,1916,121000
1324,4,1936,128000
1176,6,1937,134900
1348,5,1925,117000
1412,6,1939,132500
1142,5,1924,93000
904,6,1926,119000
1301,5,1924,100000
1539,5,1936,141500
1573,4,1935,133000
800,2,1936,60000
875,5,1931,105000
995,5,1925,115000
1582,5,1938,150000
1072,5,1925,126500
2134,6,1916,214500
2019,7,1910,167500
1768,6,1915,155000
1826,7,1915,155000
1944,7,1915,179900
2229,6,1912,104000
2128,5,1922,62500
1930,6,1927,149000
1208,4,1925,103000
1427,6,1915,123000
1864,7,1902,97500
1666,6,1927,135000
892,4,1923,70000
1403,6,1915,116000
704,4,1946,88750
1200,5,1987,179000
1200,5,1987,179000
1152,5,1978,159900
904,1,1922,61000
1369,6,1925,103600
1112,5,1934,63000
1464,5,1963,175000
1121,5,1963,139000
1683,6,1978,172500
1052,5,1967,113500
899,5,1967,130000
1034,6,1978,149900
858,5,1982,134900
860,5,1982,137000
1092,5,1962,139000
1774,5,1961,165000
1138,6,1960,148000
2071,5,1956,165000
660,2,1947,63900
1788,4,1957,161500
1473,5,1968,143000
1229,4,1956,135000
861,4,1940,82500
1867,5,1955,190000
1733,3,1955,139600
1383,4,1954,122000
1689,6,1956,127500
1073,5,1956,121500
1276,5,1958,60000
1639,6,1946,154400
672,4,1941,113000
1089,5,1954,125000
845,4,1957,84000
1049,5,1984,139500
1716,5,1949,131000
1258,6,1939,105000
1510,4,1940,108000
1061,7,1990,162000
1338,6,1983,156500
2132,8,1983,316600
2196,7,1990,271900
1775,7,1993,213000
1879,7,1993,239900
2020,8,1995,239500
2016,5,1880,131000
1535,5,1979,118964
1224,5,1979,153337
2228,5,1979,147983
1535,5,1979,118858
1535,5,1979,118858
2240,5,1979,142953
1229,5,1979,148325
1513,5,1979,113722
2787,7,2000,269500
2787,7,2000,269500
2787,7,2000,269500
1680,9,2009,323262
1718,8,2007,297000
1630,8,2008,295493
1720,9,2008,332000
1468,8,2008,239900
1768,8,2007,212000
1838,8,2007,272500
1800,9,2007,239000
1604,7,2006,220000
1290,7,2007,200000
1254,8,2008,221800
1232,7,2007,194500
1498,8,2005,237000
1422,6,2005,173000
1644,7,1989,275000
1759,7,1992,233500
2126,5,1967,185000
1040,5,1996,152000
990,5,1994,143000
1764,6,1997,231500
1661,7,1996,212000
1463,7,1998,207000
1097,5,1994,145000
990,5,1994,138000
1779,7,1998,197900
1501,7,1999,204000
1431,7,1999,192000
1772,6,1998,200000
1660,7,2002,195000
1573,7,2002,227000
1840,7,2001,230000
1430,7,2001,187100
1444,7,2002,203000
1492,7,2001,201000
1040,5,1978,124000
907,5,1978,140000
914,5,1979,134900
1040,5,1977,150500
864,5,1978,136500
1268,5,1977,143500
864,5,1972,133500
894,5,1972,123000
768,5,1972,133900
768,5,1972,133000
1611,7,2002,250000
2184,8,2003,254750
1788,8,2001,236500
1872,8,2001,261500
2153,9,2000,313000
1725,7,2002,198500
1870,7,2001,211000
1513,8,1999,220000
1504,7,1996,203000
1828,8,2002,279500
1417,7,1997,210000
2034,7,1997,219500
1716,7,1996,191000
1212,7,2001,178000
1630,7,2000,213000
848,6,2003,144000
848,6,2003,140000
1602,8,2007,293200
1728,7,2004,190000
1500,7,2004,190000
1476,6,2005,173500
1396,6,2007,170000
1126,4,1949,108000
1486,5,1964,167000
816,4,1938,100000
1922,7,2003,198500
1426,6,1977,159500
1149,4,1960,127000
1125,6,1976,125000
1698,9,2007,320000
1072,6,2005,145500
698,5,1947,118000
876,4,1959,85000
1368,5,1950,120000
1529,4,1945,98000
864,5,1922,99900
944,3,1952,82000
1678,5,1959,119900
1560,5,1956,103500
960,4,1956,112000
1196,6,1920,110000
1298,5,1941,122000
1604,5,1941,117000
1268,5,1938,160000
1520,5,1932,159434
438,2,1920,60000
1489,6,1940,139500
3082,7,1920,197000
1242,6,1935,105000
1981,4,1928,135000
1232,6,1916,147500
1608,6,1925,137450
1135,7,1936,155000
1913,6,1928,177000
1477,7,1928,145000
1228,7,1918,137000
2080,7,1926,234000
1567,5,1940,205000
1494,6,1942,177500
1308,5,1940,160000
1273,5,1960,155000
964,5,1921,163500
1343,5,1921,154900
2480,7,1940,205000
1112,5,1954,144800
1564,7,1941,174500
1561,6,1960,193000
1523,5,1949,158000
1152,6,1950,158500
1906,6,1954,224000
1032,6,1980,115000
1229,6,1980,137000
1229,6,1980,121000
1229,6,1980,124000
1982,6,1986,208000
2365,7,1971,315000
1680,6,1988,222000
1344,5,1920,147000
2168,5,1900,123000
1192,5,1920,78000
1526,3,1915,85000
572,4,1925,75000
1648,8,2007,230000
810,2,1910,57625
2052,8,2000,251000
2149,7,2003,239686
1710,7,2004,240000
1961,6,2001,215000
926,6,1977,156450
1287,6,1977,173000
1734,5,1977,126000
1217,7,1990,173000
1595,5,1991,152000
1344,6,1958,137500
2036,7,1965,375000
1620,9,2007,315500
1692,7,2009,224500
2036,9,2008,410000
1641,9,2008,316500
1466,8,2007,201000
1412,6,1988,175000
2237,6,1980,204000
1479,7,1987,213500
1296,8,2001,220000
2014,7,2003,170000
1838,9,2006,315000
1978,9,2007,425000
1008,5,1968,139500
1771,5,1960,115000
1204,6,1998,162000
1224,6,1999,165000
988,4,1973,91000
874,5,1968,130000
